Body Name,Date,Transaction Number,Amount,Supplier,Expense Area,Directorate Name,Cost Centre Name,Subjective,Supplier Size,Merchant Category Code,Merchant Category Label
City of Westminster Council,08/01/2014,SCC:PCA:8105,8.8,LUL TICKET OFFICE.,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8105,75.3,LUL TICKET OFFICE.,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8106,12.53,MAILCHIMP,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000607,Software as a Service Providers
City of Westminster Council,08/01/2014,SCC:PCA:8106,150.34,MAILCHIMP,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000607,Software as a Service Providers
City of Westminster Council,08/01/2014,SCC:PCA:8107,5,NEW SOUTHERN RAILW,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,08/01/2014,SCC:PCA:8108,50,OYSTER RENEW WEB,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,08/01/2014,SCC:PCA:8108,30,OYSTER RENEW WEB,Housing,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,08/01/2014,SCC:PCA:8108,10,OYSTER RENEW WEB,Housing,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,08/01/2014,SCC:PCA:8109,5.5,PAYPAL TABLECLOTHC,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8110,11,POST OFFICE COUNTER,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8111,12.51,SAINSBURYS,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,08/01/2014,SCC:PCA:8112,10,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8112,35.21,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8112,6.98,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8112,2.4,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8113,8.1,SELFSERVE TICKET,Children Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
